unit_id,doc_id,rel,gender,age,school,income,party,party_ln,ideo,elections,teaparty,position_in_task,S6_rel,justification,url,off_page_count,time
unit_0,REP_LIE_doc6,LIE,2,3,4,3,2,2,4,1,3,1,1,"After implementation of the law, 98% of Massachusetts residents had health coverage",https://en.wikipedia.org/wiki/Massachusetts_health_care_reform,0,105.615
unit_0,DEM_FALSE_doc1,FALSE,2,3,4,3,2,2,4,1,3,2,1,She has literally cited him in the past.,https://twitchy.com/2014/11/13/jonathan-who-nancy-sgt-schultz-pelosi-says-she-has-no-clue-who-this-gruber-guy-is/,3,133.09
unit_0,LOW,LOW,2,3,4,3,2,2,4,1,3,3,2,"Lincoln was assassinated in1865. Organized football didn't become a thing until much later, same as for Formula One.",https://en.wikipedia.org/wiki/Formula_One,1,232.59799999999998
unit_0,DEM_HALFTRUE_doc3,HALFTRUE,2,3,4,3,2,2,4,1,3,4,4,"It was found by IFC that yes, water rates did climb but only by about 170 percent, so 845 was an exaggeration.",https://www.politifact.com/global-news/statements/2016/may/12/gwen-moore/arm-world-bank-tied-8-fold-rise-water-rates-manila/,6,152.994
unit_0,DEM_TRUE_doc2,TRUE,2,3,4,3,2,2,4,1,3,5,2,Ryan sounds like he really does regret ever supporting Trump.,https://www.vanityfair.com/news/2019/07/paul-ryan-admits-he-was-a-fraud-all-along-tim-alberta-book,3,122.103
unit_0,HIGH,HIGH,2,3,4,3,2,2,4,1,3,6,6,At least Obama actually cared about the environment. His yes I can attitude made many differences in our country on all different fronts.,https://www.huffpost.com/entry/12-reasons-why-obama-is-o_b_4280675,1,95.04299999999999
unit_0,REP_MOSTLYTRUE_doc5,MOSTLYTRUE,2,3,4,3,2,2,4,1,3,7,5,His turnaround was a pretty big one and well known. I wouldn't say he is the only one though.,https://www.politifact.com/truth-o-meter/statements/2008/jan/28/rudy-giuliani/a-real-turnaround/,2,117.84700000000001
unit_0,REP_BARELYTRUE_doc4,BARELYTRUE,2,3,4,3,2,2,4,1,3,8,4,The Secure Fence Act was a thing and yes it could have happened but the reasons that he states it never happened were not the true reasons.,https://www.politifact.com/truth-o-meter/statements/2016/aug/29/donald-trump/trump-says-they-were-going-build-wall-06-no-enviro/,1,161.113
unit_1,REP_TRUE_doc8,TRUE,2,3,5,7,3,1,4,1,1,1,5,ITS MOSTLY CRT,https://en.wikipedia.org/wiki/Chris_Christie,0,414.39599999999996
unit_1,LOW,LOW,2,3,5,7,3,1,4,1,1,2,5,ITS TRUE,https://www.battlefields.org/learn/articles/10-facts-abraham-lincoln?gclid=EAIaIQobChMI1ffj_cKq5AIVgobACh3l1AIiEAAYASAAEgIVN_D_BwE,4,116.51799999999999
