unit_id,doc_id,rel,gender,age,school,income,party,party_ln,ideo,elections,teaparty,position_in_task,S100_rel,justification,url,off_page_count,time
unit_0,REP_LIE_doc6,LIE,2,5,3,6,3,1,2,1,1,1,3.0,"Rick Perry was governor of Texas, not Massachusetts.  ",https://en.wikipedia.org/wiki/Rick_Perry,0,59.715
unit_0,DEM_FALSE_doc1,FALSE,2,5,3,6,3,1,2,1,1,2,6.0,Nancy Pelosi is House Majority leader and Speaker of the House.,https://www.facebook.com/NancyPelosi/,1,85.715
unit_0,LOW,LOW,2,5,3,6,3,1,2,1,1,3,1.0,"Lincoln lived in the 19th century, at which time there were no planes and no football as we know it.",https://www.anb.org/view/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-0400631,1,86.52
unit_0,DEM_HALFTRUE_doc3,HALFTRUE,2,5,3,6,3,1,2,1,1,4,2.0,Looks like it went up 170%.according to Politifact ,https://www.politifact.com/global-news/statements/2016/may/12/gwen-moore/arm-world-bank-tied-8-fold-rise-water-rates-manila/,1,147.263
unit_0,DEM_TRUE_doc2,TRUE,2,5,3,6,3,1,2,1,1,5,40.0,I cannot find anything that supports this as fact.,https://www.vanityfair.com/news/2019/07/paul-ryan-admits-he-was-a-fraud-all-along-tim-alberta-bookays Paul Ryan is still endorsing Trump.,3,291.685
unit_0,HIGH,HIGH,2,5,3,6,3,1,2,1,1,6,96.0,See speech in New Hampshire. ,https://www.youtube.com/watch?v=Fe751kMBwms,6,158.74599999999995
unit_0,REP_MOSTLYTRUE_doc5,MOSTLYTRUE,2,5,3,6,3,1,2,1,1,7,93.0,"He said that in a January 28, 2008, speech.",https://www.politifact.com/personalities/rudy-giuliani/statements/byruling/mostly-true/,3,125.867
unit_0,REP_BARELYTRUE_doc4,BARELYTRUE,2,5,3,6,3,1,2,1,1,8,88.0,Politifact confirms this.,https://www.texasstandard.org/stories/trump-says-we-already-tried-to-build-a-wall-in-2006/,2,78.217
unit_1,REP_TRUE_doc8,TRUE,1,3,6,9,1,1,2,1,1,1,100.0,"
The average annual pension benefit for new retirees in the judicial pension system is the largest. And judges contributed, prior to the pension and benefit reform law, 3 percent of their salary toward their pension,  the smallest percentage among public employees.

We rate Christie’s statement True.",https://www.politifact.com/new-jersey/statements/2011/oct/27/chris-christie/chris-christie-claims-judges-reap-better-pension-b/,0,25.925
unit_1,LOW,LOW,1,3,6,9,1,1,2,1,1,2,0.0,he was president,https://en.wikipedia.org/wiki/Formula_One,0,8.421
unit_1,REP_FALSE_doc2,FALSE,1,3,6,9,1,1,2,1,1,3,10.0,"Richardson, in criticizing Kitzhaber’s years as governor, claimed that men and women working in Oregon nearly 20 years ago made more then than they do now adjusted for inflation.

The Richardson campaign did get back to us but, regardless, the information it provided doesn't hold up.

Data from the two federal agencies and the state Employment Department show that both genders make more today, when their wages are adjusted for inflation, than they did when Kitzhaber was first elected in 1995.

We rate the claim False.",https://www.politifact.com/oregon/statements/2014/oct/30/dennis-richardson/are-oregonians-earning-less-now-when-john-kitzhabe/,0,21.816999999999997
unit_1,DEM_BARELYTRUE_doc9,BARELYTRUE,1,3,6,9,1,1,2,1,1,4,19.0,"McAuliffe did not acknowledge these points, all of which have been reported widely. So we rate his statement Mostly False.",https://www.politifact.com/virginia/statements/2015/nov/02/terry-mcauliffe/mcauliffe-says-40-percent-gun-sales-escape-backgro/,0,25.283
unit_1,REP_HALFTRUE_doc10,HALFTRUE,1,3,6,9,1,1,2,1,1,5,50.0,"McCain isn't entirely wrong, but by his choice of words he gives the impression that the two dynamics are working together. For this reason, we find his statement Half True.",https://www.politifact.com/truth-o-meter/statements/2008/jun/20/john-mccain/pushing-the-envelope-to-link-debt-and-energy/,0,13.337
unit_1,DEM_MOSTLYTRUE_doc3,MOSTLYTRUE,1,3,6,9,1,1,2,1,1,6,73.0,"Lew said that ""almost 100,000 people left Puerto Rico last year.""

That appears to be close. Airline data suggests about 89,000 more people departed Puerto Rico for the United States then entered it in 2015. While that’s not a perfect estimate to measure out-migration, all the population trends suggest Puerto Rico is experiencing a surge in out-migration, as residents leave for better jobs and prospects in the United States.

Lew’s statement is Mostly True.",https://www.politifact.com/global-news/statements/2016/may/17/jack-lew/treasury-secretary-lew-says-about-100000-people-le/,0,14.44
unit_1,HIGH,HIGH,1,3,6,9,1,1,2,1,1,7,100.0,his slogan for the campaign,https://en.wikipedia.org/wiki/Barack_Obama_2008_presidential_campaign#Slogan,0,11.835
